ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,estricto,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,coherencia_ok,coherencia_bloqueantes,coherencia_avisos,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,t_escalon_ms,x_inicial_um,x_final_um,salto_nm,suavizado_muestras,suavizado_ms,t_subida_10_90_ms,t_50_ms,tau_desde_subida_ms,f_3db_hz,sobrepico_nm,sobrepico_pct,bump_lento_nm,bump_lento_t_ms,t_primer_cruce_ms,ts_5nm_ms,asento_en_ventana,error_final_nm,ruido_final_nm_rms,ventana_post_escalon_ms,tol_bajo_ruido,archivo
True,20260909_171236,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,0,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.42279624938965,8192,327.639868944,-0.03999998400001914,18.0,5.999069039918037,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,106.19995751999998,31.199987519999993,48.33862426945834,3.2956698681737855,0.0,0.0,-9.140000000004989,167.359933056,137.439945024,,False,-4.285000000006877,1.5782751405749897,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171236_r0
True,20260909_171243,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,1,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,335.1881504058838,8192,327.639868944,-0.03999998400001914,17.9,5.7079160098744675,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,161.59993536000002,26.279989487999984,73.55481809740556,2.1658424504953957,0.0,0.0,,,,,False,-4.009193548393712,2.004847993905145,247.63990094399998,True,E517_escalon_ampfino_0.01um_20260909_171243_r1
True,20260909_171250,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,2,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.4647579193115,8192,327.639868944,-0.03999998400001914,14.8,7.147760384597753,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,21.079991567999997,,,0.0,0.0,,,,,False,-6.194193548393931,0.5411443918779737,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171250_r2
True,20260909_171257,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,3,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,342.3900604248047,8192,327.639868944,-0.03999998400001914,15.7,5.705010390410127,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,25.479989807999985,,,0.0,0.0,,,,,False,-6.180483870973915,0.9476574299699398,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171257_r3
True,20260909_171304,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,4,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.8138027191162,8192,327.639868944,-0.03999998400001914,14.4,6.297417877497739,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,20.79999167999999,,,0.0,0.0,,,,240.79990368,True,-4.299838709683963,1.3006759928985139,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171304_r4
True,20260909_171311,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,5,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,340.67416191101074,8192,327.639868944,-0.03999998400001914,17.0,7.438478139461727,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,44.99998199999999,,,0.0,0.0,,,,,False,-7.889838709684318,0.8886433878445834,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171311_r5
True,20260909_171318,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,6,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.5510654449463,8192,327.639868944,-0.03999998400001914,17.9,6.651181131890692,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,27.799988879999987,,,0.0,0.0,,,,,False,-5.969516129038418,1.3282378909298245,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171318_r6
True,20260909_171326,,escalon,100.0,100.0,0.005,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.01um,7,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,442.54016876220703,8192,327.639868944,-0.03999998400001914,17.7,7.335494695102369,79.99996800000001,99.995,100.0049,9.900000000001796,25,0.9999996000001232,,51.439979423999986,,,0.0,0.0,,,,,False,-6.856451612909216,1.6605887964466162,247.63990094399998,False,E517_escalon_ampfino_0.01um_20260909_171326_r7
True,20260909_171422,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,0,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,338.7746810913086,8192,327.639868944,-0.03999998400001914,28.9,8.488809628918276,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,29.67998812799999,,,0.0,0.0,,,,,False,-6.58612903225994,0.7702750971477997,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171422_r0
True,20260909_171518,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,1,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,342.2079086303711,8192,327.639868944,-0.03999998400001914,24.299999999999997,8.133670403838678,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,20.039991983999997,,,0.0,0.0,,,,241.159903536,True,-5.505967741937533,1.527145724374146,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171518_r1
True,20260909_171615,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,2,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,442.43788719177246,8192,327.639868944,-0.03999998400001914,25.5,8.444459224933382,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,19.799992079999996,,,0.0,0.0,,,,,False,-6.360483870969713,0.7218053696638772,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171615_r2
True,20260909_171711,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,3,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,339.17999267578125,8192,327.639868944,-0.03999998400001914,26.599999999999998,8.52866375634249,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,25.119989951999983,,,0.0,0.0,,,,,False,-6.422903225808685,1.1989745445074564,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171711_r3
True,20260909_171808,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,4,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.0608768463135,8192,327.639868944,-0.03999998400001914,26.599999999999998,8.732423403950326,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,22.319991071999993,,,0.0,0.0,,,,,False,-6.597741935485971,1.004904776992759,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171808_r4
True,20260909_171905,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,5,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,342.27728843688965,8192,327.639868944,-0.03999998400001914,29.0,9.54929247726795,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,26.039989583999997,,,0.0,0.0,,,,,False,-8.450000000001909,1.0629159527356704,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_171905_r5
True,20260909_172001,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,6,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,340.6059741973877,8192,327.639868944,-0.03999998400001914,25.8,9.302922337291218,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,18.51999259199998,,,0.0,0.0,,,,,False,-7.168548387098707,2.0286642250453872,247.63990094399998,True,E517_escalon_ampfino_0.02um_20260909_172001_r6
True,20260909_172058,,escalon,100.0,100.0,0.01,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.02um,7,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,342.5309658050537,8192,327.639868944,-0.03999998400001914,27.900000000000002,9.578259901680505,79.99996800000001,99.9899,100.0099,19.99999999999602,25,0.9999996000001232,,25.359989855999984,,,0.0,0.0,,,,,False,-8.60774193548602,1.4544386117462367,247.63990094399998,False,E517_escalon_ampfino_0.02um_20260909_172058_r7
True,20260909_172105,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,0,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,344.3021774291992,8192,327.639868944,-0.03999998400001914,56.9,12.93213510632344,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,57.15997713600001,16.279993487999988,26.01728590623578,6.123165500350873,0.0,0.0,,,,,False,-8.126451612908857,1.3160094822368396,247.63990094399998,False,E517_escalon_ampfino_0.05um_20260909_172105_r0
True,20260909_172112,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,1,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,334.4268798828125,8192,327.639868944,-0.03999998400001914,56.5,13.120028773950798,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,71.51997139200002,15.479993807999989,32.55346899954484,4.8937379753922805,0.0,0.0,,,,,False,-8.652580645167426,1.4050289119789172,247.63990094399998,False,E517_escalon_ampfino_0.05um_20260909_172112_r1
True,20260909_172119,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,2,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,340.6949043273926,8192,327.639868944,-0.03999998400001914,54.199999999999996,12.481356409160826,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,135.59994576,16.159993535999988,61.72050330450614,2.5811219764015925,0.0,0.0,,,,,False,-7.1740322580712155,1.7095613092035722,247.63990094399998,True,E517_escalon_ampfino_0.05um_20260909_172119_r2
True,20260909_172126,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,3,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,338.90390396118164,8192,327.639868944,-0.03999998400001914,58.7,13.550799109061451,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,66.99997319999999,14.679994127999976,30.496118889394623,5.223882686568,0.0,0.0,,,,,False,-9.86983870968298,1.4921006970423372,247.63990094399998,False,E517_escalon_ampfino_0.05um_20260909_172126_r3
True,20260909_172133,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,4,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,338.7782573699951,8192,327.639868944,-0.03999998400001914,57.0,13.540863447733171,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,,16.959993215999987,,,0.0,0.0,,,,,False,-8.23241935484465,0.7492559437886018,247.63990094399998,False,E517_escalon_ampfino_0.05um_20260909_172133_r4
True,20260909_172140,,escalon,100.0,100.0,0.025,1,1,1,2000,6192,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,ampfino_0.05um,5,0.5,False,True,amplitud del escalon: ¿tau(A) o tau constante?,39.999984,39.999984,327.679868928,327.679868928,8192,8192,True,,,341.68410301208496,8192,327.639868944,-0.03999998400001914,57.8,13.90289777011433,79.99996800000001,99.9749,100.025,50.10000000000048,25,0.9999996000001232,78.279968688,17.91999283199999,35.63039084569868,4.47113106796188,0.0,0.0,,,,,False,-9.426290322586658,2.3674136792325142,247.63990094399998,True,E517_escalon_ampfino_0.05um_20260909_172140_r5
